"Story","Title","Result","Date","Stability","Duration (s)"
"CP01 - CP02 - Realizar operaciones de herramienta a operario","1 - Validar operacion de prestamo","SUCCESS","2024-10-03T22:43:09.0832404-05:00[America/Bogota]","0.0","13.36"
"CP01 - CP02 - Realizar operaciones de herramienta a operario","2 - Validar operacion de devolucion","SUCCESS","2024-10-03T22:43:23.1364619-05:00[America/Bogota]","0.0","10.31"
"CP03 - Consultar indicador herramienta","1 - Validar acceso a reporte de herramientas","SUCCESS","2024-10-03T22:43:34.0967511-05:00[America/Bogota]","0.0","9.73"
"CP04 - Agregar herramienta a inventario y consultar su estado","1 - Agregar herramienta a inventario","SUCCESS","2024-10-03T22:43:44.4880992-05:00[America/Bogota]","0.0","9.99"
"CP04 - Agregar herramienta a inventario y consultar su estado","2 - Revisar estado de un item de una herramienta registrada","SUCCESS","2024-10-03T22:43:55.1269507-05:00[America/Bogota]","0.0","7.95"
"CP05 - Realizar ingreso de cuenta de usuario","1 - Validar credenciales correctas","SUCCESS","2024-10-03T22:44:03.7085251-05:00[America/Bogota]","0.0","6.52"
"CP06 - Agregar operario a la base de datos y consultar su estado","1 - Registra nuevo operario y accede a la pagina de informacion","SUCCESS","2024-10-03T22:44:10.8645604-05:00[America/Bogota]","0.0","8.84"
"CP07 - Registrar un kit en el sistema y consultar su estado","1 - Registra nuevo kit y accede a la pagina de informacion","SUCCESS","2024-10-03T22:44:20.3425699-05:00[America/Bogota]","0.0","12.73"
"CP08 - Dar de baja una herramienta del sistema","1 - Ingresa a la seccion de inventario y da de baja una herramienta seleccionada","ERROR","2024-10-03T22:44:33.7288648-05:00[America/Bogota]","0.0","8.65"
"CP09 - Acceder a las alertas del panel principal","1 - Accede a la seccion del panel principal","SUCCESS","2024-10-03T22:44:43.032996-05:00[America/Bogota]","0.0","6.9"
